OBJECTID,GEOID20,ED,FIL,nbhdname,Total Population,White,Black,American Indian,Asian,Native Hawaiian,Some Other,Two or More,Hispanic
1669,360290072021019,FIL-007,FIL-007,Central,0,0,0,0,0,0,0,0,0
1670,360290165001086,FIL-007,FIL-008,Central,0,0,0,0,0,0,0,0,0
1671,360290165001078,FIL-007,FIL-007,Central,0,0,0,0,0,0,0,0,0
1672,360290165001076,FIL-007,FIL-007,Central,0,0,0,0,0,0,0,0,0
1674,360290164002035,FIL-015,FIL-015,Ellicott,20,16,2,0,0,0,0,2,2
1675,360290164002033,FIL-015,FIL-015,Ellicott,62,52,6,0,0,0,2,2,4
1676,360290163001007,FIL-016,FIL-016,Seneca Babcock,39,18,8,0,0,0,6,7,10
1688,360290071021000,FIL-005,FIL-008,Lower West Side,266,101,100,6,2,0,42,15,60
1693,360290067021002,ELL-008,FIL-031,Elmwood Bryant,191,149,13,0,15,0,7,7,4
1712,360290015001026,FIL-018,FIL-018,Broadway Fillmore,6,0,4,0,1,0,0,1,0
1717,360290029004006,FIL-011,FIL-011,Genesee-Moselle,118,4,94,0,15,0,1,4,1
1768,360290005002018,FIL-012,FIL-013,First Ward,34,23,3,0,0,0,1,7,7
1776,360290072021021,FIL-008,FIL-008,Central,83,70,0,0,2,2,1,8,10
1779,360290165001020,ELL-024,FIL-007,Central,0,0,0,0,0,0,0,0,0
1780,360290028011007,FIL-032,FIL-028,Genesee-Moselle,0,0,0,0,0,0,0,0,0
1784,360290068021004,ELL-002,FIL-002,Allentown,76,43,12,0,4,0,8,9,16
1789,360290024005005,FIL-025,FIL-025,Lovejoy,113,19,49,0,21,0,11,13,18
1790,360290165001061,FIL-007,FIL-010,Central,3,0,0,2,0,0,0,1,0
1791,360290164002027,FIL-015,FIL-038,Ellicott,21,10,7,0,0,0,0,4,4
1793,360290072021004,FIL-008,FIL-008,Central,26,16,2,0,0,0,0,8,7
1794,360290072021005,FIL-008,FIL-008,Central,175,153,6,0,6,0,3,7,9
1798,360290028021014,FIL-032,FIL-032,Genesee-Moselle,135,28,88,0,11,0,2,6,3
1799,360290028011003,FIL-028,FIL-028,Genesee-Moselle,104,0,75,3,1,0,22,3,25
1800,360290024005000,FIL-025,FIL-025,Lovejoy,150,49,94,0,0,0,4,3,6
1873,360290068022010,FIL-004,FIL-004,Allentown,112,74,17,6,3,0,5,7,9
1874,360290005001013,FIL-013,FIL-013,First Ward,43,31,6,2,1,0,0,3,2
