jurisdiction,righttoaddress,rightfromaddress,lefttoaddress,leftfromaddress,nysstreetid,objectid,highwaynumber,leftpostal,shape_length,rightpostal,fcc,acc,completestreetname,speed
12,99,1,98,2,477791871,6616,,14212,94.586267502115646,14212,A40,5,Sienkiewicz Place,25
12,99,1,198,2,477795547,10787,,14210,177.92004721218274,14210,A41,5,Bass Alley,25
12,175,75,176,76,477796265,11003,,14206,237.13415414929688,14206,A41,5,Gilbert Street,25
12,165,139,164,132,477794518,10948,,14206,97.247093252826218,14206,A41,5,Lewis Street,25
12,199,79,198,80,477791289,6529,,14212,226.97232257484544,14212,A41,5,Peck Street,25
12,173,1,174,2,477793578,991,,14206,549.9632273598296,14206,A41,5,Central Avenue,25
12,99,97,198,188,477791317,7877,,14201,13.409179691476719,14201,A41,5,Tracy Street,25
12,99,25,52,26,477791540,8088,,14203,101.56282095330661,14203,A31,3,East Tupper Street,35
12,61,1,62,2,477790271,8059,,14201,206.94205589927208,14201,A40,5,Park Street,25
12,439,281,438,282,477791592,6808,,14212,507.23712457244943,14212,A40,5,Wilson Street,25
12,99,1,98,2,477794418,6665,,14206,150.42047099829966,14206,A40,5,Steuben Alley,25
12,199,97,198,98,477789614,8017,,14201,311.14941592330302,14201,A40,5,Mariner Street,25
01,899,835,904,832,477790291,8075,5,14202,205.010835078779,14203,A21,3,Main Street,35
12,99,1,98,2,477796676,10405,,14204,79.083041198723308,14204,A41,5,Pillsbury Place,25
12,33,3,34,4,513312382,10076,,14203,79.637979694182121,14203,A41,4,Exchange Street,25
12,95,71,96,72,477790181,6317,,14212,87.139999999966577,14212,A41,5,Stanislaus Street,25
