OBJECTID,GEOID20,ED,name20,2011_district,2024_district,Total Population,White,Black,American Indian,Asian,Native Hawaiian,Some Other,Two or More,Hispanic
2005,3.6029E+14,FIL 20,Block 2011,FILLMORE,FILLMORE,11,1,9,0,0,0,0,1,1
2006,3.6029E+14,FIL 20,Block 1005,FILLMORE,FILLMORE,19,1,18,0,0,0,0,0,0
2008,3.6029E+14,FIL 18,Block 1023,FILLMORE,FILLMORE,18,4,10,0,3,0,0,1,1
2009,3.6029E+14,FIL 10,Block 1106,FILLMORE,FILLMORE,6,5,0,0,0,0,1,0,1
2029,3.6029E+14,FIL 7,Block 1077,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
2130,3.6029E+14,FIL 10,Block 1014,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
2131,3.6029E+14,FIL 10,Block 1013,FILLMORE,FILLMORE,2,0,0,0,0,0,1,1,1
2132,3.6029E+14,FIL 13,Block 1016,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
2133,3.6029E+14,FIL 13,Block 1017,FILLMORE,FILLMORE,20,14,1,0,0,0,0,5,8
2135,3.6029E+14,FIL 13,Block 1012,FILLMORE,FILLMORE,38,23,4,0,0,0,4,7,17
2137,3.6029E+14,FIL 15,Block 2037,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
2149,3.6029E+14,ELL 14,Block 3000,ELLICOTT,FILLMORE,199,142,22,1,8,0,16,10,17
2155,3.6029E+14,FIL 18,Block 2013,FILLMORE,FILLMORE,44,21,13,0,3,0,0,7,4
2160,3.6029E+14,ELL 15,Block 4001,ELLICOTT,FILLMORE,338,175,104,3,7,0,19,30,50
2161,3.6029E+14,ELL 15,Block 4000,ELLICOTT,FILLMORE,0,0,0,0,0,0,0,0,0
2163,3.6029E+14,FIL 4,Block 1009,FILLMORE,FILLMORE,22,11,7,0,3,0,0,1,2
2170,3.6029E+14,FIL 13,Block 2003,FILLMORE,FILLMORE,69,57,3,2,0,0,3,4,8
2177,3.6029E+14,FIL 13,Block 1015,FILLMORE,FILLMORE,34,17,3,1,0,0,9,4,13
2178,3.6029E+14,FIL 19,Block 1019,FILLMORE,FILLMORE,79,69,8,0,2,0,0,0,3
2179,3.6029E+14,FIL 18,Block 2018,FILLMORE,FILLMORE,32,24,3,1,2,0,0,2,1
2182,3.6029E+14,FIL 25,Block 5011,FILLMORE,FILLMORE,73,19,20,3,25,0,1,5,8
2201,3.6029E+14,FIL 16,Block 1009,FILLMORE,FILLMORE,118,92,13,0,5,0,1,7,21
2204,3.6029E+14,FIL 8,Block 1011,FILLMORE,FILLMORE,956,275,338,0,3,1,194,145,412
2209,3.6029E+14,FIL 27,Block 2003,FILLMORE,FILLMORE,181,6,18,0,138,0,12,7,5
2210,3.6029E+14,FIL 20,Block 1003,FILLMORE,FILLMORE,24,0,12,0,6,0,4,2,4
2211,3.6029E+14,FIL 8,Block 1012,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
2219,3.6029E+14,FIL 32,Block 1007,FILLMORE,FILLMORE,24,2,14,0,0,0,1,7,5
2227,3.6029E+14,FIL 18,Block 2009,FILLMORE,FILLMORE,16,10,4,1,0,0,1,0,2
2228,3.6029E+14,FIL 15,Block 2025,FILLMORE,FILLMORE,20,17,2,0,0,0,0,1,3
2236,3.6029E+14,ELL 34,Block 1001,ELLICOTT,FILLMORE,0,0,0,0,0,0,0,0,0
2251,3.6029E+14,FIL 8,Block 1019,FILLMORE,FILLMORE,40,26,7,0,3,0,1,3,8
2256,3.6029E+14,FIL 28,Block 1009,FILLMORE,FILLMORE,26,10,5,0,1,0,5,5,12
2257,3.6029E+14,FIL 18,Block 2016,FILLMORE,FILLMORE,31,19,12,0,0,0,0,0,2
2258,3.6029E+14,FIL 24,Block 1026,FILLMORE,FILLMORE,51,2,26,0,11,0,3,9,7
2261,3.6029E+14,FIL 20,Block 1007,FILLMORE,FILLMORE,25,2,19,0,0,0,1,3,2
2262,3.6029E+14,FIL 27,Block 1010,FILLMORE,FILLMORE,89,1,11,0,66,0,7,4,1
2263,3.6029E+14,FIL 24,Block 1015,FILLMORE,FILLMORE,83,14,43,0,12,0,3,11,8
2268,3.6029E+14,ELL 9,Block 1003,ELLICOTT,FILLMORE,140,110,0,1,17,0,2,10,15
2309,3.6029E+14,FIL 1,Block 1002,FILLMORE,FILLMORE,149,132,5,0,2,0,8,2,6
2356,3.6029E+14,FIL 13,Block 2004,FILLMORE,FILLMORE,69,62,1,0,0,0,0,6,12
2360,3.6029E+14,FIL 15,Block 2028,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
2361,3.6029E+14,FIL 13,Block 1018,FILLMORE,FILLMORE,39,27,2,0,0,0,4,6,11
2362,3.6029E+14,FIL 14,Block 4006,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
2368,3.6029E+14,FIL 000,Block 1018,FILLMORE,FILLMORE,15,4,4,0,0,0,1,6,11
