ED,CANDIDATE,PARTY,VOTES,YEAR,RACE
FIL 021,Mitch Nowakowski,Independence,1,2019,Council
FIL 021,Mohammed Jahangir Alam,United Fillmore District,10,2019,Council
FIL 021,Raymond Brinson,Conservative,5,2019,Council
FIL 021,Sam Herbert,Write-In,0,2019,Council
FIL 021,Barbara Miller-Williams,Democratic,40,2019,Comptroller
FIL 021,Barbara Miller-Williams,Independence,0,2019,Comptroller
FIL 021,Barbara Miller-Williams,Working Families,5,2019,Comptroller
FIL 021,"Blank, Void, & Scattering",n/a,6,2019,Comptroller
FIL 021,Ross M. Kostecky,Republican,10,2019,Comptroller
FIL 021,"Blank, Void & Scattering                                                                     ",n/a,4,2020,President
FIL 021,Brock Pierce/Karla Ballard,Independence,0,2020,President
FIL 021,Donald J. Trump/Michael R. Pence,Conservative,0,2020,President
FIL 021,Donald J. Trump/Michael R. Pence,Republican,23,2020,President
FIL 021,Howie Hawkins/Angela Nicole Walker,Green,1,2020,President
FIL 021,Jo Jorgensen/Jeremy Cohen,Libertarian,1,2020,President
FIL 021,Joseph R. Biden/Kamala D. Harris,Democratic,87,2020,President
FIL 021,Joseph R. Biden/Kamala D. Harris,Working Families,4,2020,President
FIL 021,"President, Write in",n/a,0,2020,President
FIL 021,"Blank, Void, Scattering",n/a,11,2020,Congress
FIL 021,Brian Higgins,SAM,0,2020,Congress
FIL 021,Brian Higgins,Working Families,6,2020,Congress
FIL 021,Brian Higgins,Democratic,83,2020,Congress
FIL 021,Michael P. Raleigh,Green,5,2020,Congress
FIL 021,Ricky T. Donovan Sr.,Republican,15,2020,Congress
FIL 021,"Blank, Void, Scattering",n/a,9,2021,Sheriff
FIL 021,John C. Garcia,Back the Blue/Guardian,2,2021,Sheriff
FIL 021,John C. Garcia,Republican,19,2021,Sheriff
FIL 021,Karen L. Healy-Case,Conservative,0,2021,Sheriff
FIL 021,Kimberly Beaty,Democratic,49,2021,Sheriff
FIL 021,Kimberly Beaty,Justice & Peace,0,2021,Sheriff
FIL 021,Theodore C. DiNoto,Public Service,0,2021,Sheriff
FIL 021,Ben Carlisle,Write-In,0,2021,Mayor
FIL 021,"Blank, Void, and Scattering",n/a,1,2021,Mayor
FIL 021,Byron Brown,Write-In,40,2021,Mayor
FIL 021,India B. Walton,Democratic,38,2021,Mayor
FIL 021,Jaz Miles,Write-In,0,2021,Mayor
FIL 021,William O'Dell,Write-In,0,2021,Mayor
FIL 021,"Blank, Void, Scattering",n/a,13,2021,Comptroller
FIL 021,Duane J. Whitmer,Libertarian,1,2021,Comptroller
FIL 021,Kevin R. Hardwick,Democratic,41,2021,Comptroller
FIL 021,Kevin R. Hardwick,Working Families/Integrity,6,2021,Comptroller
FIL 021,Lynne Dixon,Republican,15,2021,Comptroller
FIL 021,Lynne Dixon,Conservative,3,2021,Comptroller
FIL 021,"Blank, Void, Scattering",n/a,5,2022,Senate
FIL 021,Charles E. Schumer,Working Families,2,2022,Senate
FIL 021,Charles E. Schumer,Democratic,39,2022,Senate
FIL 021,Diane Sare,LaRouche,0,2022,Senate
FIL 021,Joe Pinion,Conservative,3,2022,Senate
FIL 021,Joe Pinion,Republican,11,2022,Senate
FIL 021,"Blank, Void, Scattering",n/a,0,2022,Governor
FIL 021,Kathy C. Hochul / Antonio Delgado,Democratic,38,2022,Governor
FIL 021,Kathy C. Hochul / Antonio Delgado,Working Families,3,2022,Governor
FIL 021,Lee Zeldin / Alison Esposito,Conservative,3,2022,Governor
FIL 021,Lee Zeldin / Alison Esposito,Republican,16,2022,Governor
FIL 021,"Blank, Void, Scattering",n/a,2,2022,Congress
FIL 021,Brian Higgins,Working Families,2,2022,Congress
FIL 021,Brian Higgins,Democratic,42,2022,Congress
FIL 021,Steven L. Sams II,Conservative,3,2022,Congress
FIL 021,Steven L. Sams II,Republican,11,2022,Congress
FIL 021,"Blank, Void, Scattering",n/a,7,2022,Comptroller
FIL 021,Paul Rodriguez,Conservative,2,2022,Comptroller
FIL 021,Paul Rodriguez,Republican,13,2022,Comptroller
FIL 021,Thomas P. DiNapoli,Working Families,3,2022,Comptroller
FIL 021,Thomas P. DiNapoli,Democratic,35,2022,Comptroller
FIL 022,YES,n/a,78,2002,Proposition
FIL 022,NO,n/a,8,2002,Proposition
FIL 022,"Blank, Void & Scattering",n/a,19,2002,Proposition
FIL 022," Blank, Void & Scattering                                                                     ",n/a,1,2005,Mayor
FIL 022,Byron W. Brown,Democrat,41,2005,Mayor
FIL 022,Byron W. Brown                                                         ,Working Families,4,2005,Mayor
FIL 022,Charles J. Flynn,Independence,1,2005,Mayor
FIL 022,Judith S. Einach                                             ,Green,6,2005,Mayor
FIL 022,Kevin J. Helfer,Republican/Strong Leadership,23,2005,Mayor
FIL 022,Kevin J. Helfer,Conservative,7,2005,Mayor
FIL 022,Barack Obama/Joe Biden,Democratic,94,2008,President
FIL 022,Barack Obama/Joe Biden,Working Families,5,2008,President
FIL 022,"Blank, Void & Scattering                                                                     ",n/a,1,2008,President
FIL 022,Bob Barr/Wayne A. Root,Libertarian,0,2008,President
FIL 022,Cynthia McKinney/Rosa Clemente,Green,0,2008,President
FIL 022,Gloria LaRiva/Eugene Puryear,Socialism & Liberation,0,2008,President
FIL 022,John McCain/Sarah Palin,Conservative,1,2008,President
FIL 022,John McCain/Sarah Palin,Independence,5,2008,President
FIL 022,John McCain/Sarah Palin,Republican,27,2008,President
FIL 022,"President, Write In",n/a,0,2008,President
FIL 022,Ralph Nader/Matt Gonzalez,Populist,1,2008,President
FIL 022,Roger Calero/Alyson Kennedy,Socialist Workers,0,2008,President
FIL 022," Blank, Void & Scattering                                                                     ",n/a,13,2009,Mayor
FIL 022,Byron W. Brown,Democratic,9,2009,Mayor
FIL 022,Byron W. Brown,Independence,1,2009,Mayor
FIL 022,Byron W. Brown                                                                 ,Working Families,1,2009,Mayor
FIL 022,Byron W. Brown,Conservative,0,2009,Mayor
FIL 022,"Blank, Void & Scattering                                                                     ",n/a,4,2011,Council
FIL 022,David A. Franczyk,Conservative,1,2011,Council
FIL 022,David A. Franczyk,Democratic,28,2011,Council
FIL 022,David A. Franczyk,Republican,2,2011,Council
FIL 022,David A. Franczyk,Working Families,2,2011,Council
FIL 022,Samuel A. Herbert,Write-In,0,2011,Council
FIL 022,"Blank, Void & Scattering                                                                     ",n/a,0,2011,County Executive
FIL 022,Chris Collins,Conservative,0,2011,County Executive
FIL 022,Chris Collins,Independence,0,2011,County Executive
FIL 022,Chris Collins,Republican,6,2011,County Executive
FIL 022,Mark C. Poloncarz,Democratic,26,2011,County Executive
FIL 022,Mark C. Poloncarz,Working Families,5,2011,County Executive
FIL 022,Barack Obama/Joe Biden,Democratic,81,2012,President
FIL 022,Barack Obama/Joe Biden,Working Families,3,2012,President
FIL 022,"Blank, Void & Scattering                                                                     ",n/a,2,2012,President
FIL 022,Gary Johnson/James P. Gray,Libertarian,0,2012,President
FIL 022,Jill Stein/Cheri Honkala,Green,1,2012,President
FIL 022,Mitt Romney/Paul Ryan,Conservative,0,2012,President
FIL 022,Mitt Romney/Paul Ryan,Republican,5,2012,President
FIL 022,Peta Lindsay/Yari Osorio,Socialism and Lib,0,2012,President
FIL 022,"President, Write In",n/a,0,2012,President
FIL 022,Virgil Goode/Jim Clymer,Constitution,0,2012,President
FIL 022,"Blank, Void & Scattering                                                                     ",n/a,0,2013,Mayor
FIL 022,Byron W. Brown,Conservative,1,2013,Mayor
FIL 022,Byron W. Brown,Democratic,22,2013,Mayor
FIL 022,Byron W. Brown,Independence,2,2013,Mayor
FIL 022,Byron W. Brown,Working Families,1,2013,Mayor
FIL 022,Sergio R. Rodriguez,Progressive,0,2013,Mayor
FIL 022,Sergio R. Rodriguez,Republican,3,2013,Mayor
FIL 022,"Blank, Void & Scattering                                                                     ",n/a,1,2015,County Executive
FIL 022,Eric Jones,Green,3,2015,County Executive
FIL 022,Mark C. Poloncarz,Democratic,16,2015,County Executive
FIL 022,Mark C. Poloncarz,Working Families,2,2015,County Executive
FIL 022,Mark C. Poloncarz,Women's Equality,0,2015,County Executive
FIL 022,Raymond W. Walter,Republican,2,2015,County Executive
FIL 022,Raymond W. Walter,Independence,0,2015,County Executive
FIL 022,Raymond W. Walter,Reform,0,2015,County Executive
FIL 022,Raymond W. Walter,Conservative,0,2015,County Executive
FIL 022,"Blank, Void & Scattering                                                                     ",n/a,2,2015,Council
FIL 022,David A. Franczyk,Democratic,13,2015,Council
FIL 022,David A. Franczyk,Republican,3,2015,Council
FIL 022,David A. Franczyk,Working Families,0,2015,Council
FIL 022,David P. Howard,Independence,6,2015,Council
FIL 022,"Blank, Void, & Scattering",n/a,0,2016,President
FIL 022,Donald J Trump/ Michael R Pence,Republican,2,2016,President
FIL 022,Donald J Trump/ Michael R Pence,Conservative,1,2016,President
FIL 022,Gary Johnson/ Bill Weld,Independence,1,2016,President
FIL 022,Gary Johnson/ Bill Weld,Libertarian,0,2016,President
FIL 022,Hillary Clinton/ Tim Kaine,Women's Equality,0,2016,President
FIL 022,Hillary Clinton/ Tim Kaine,Working Families,1,2016,President
FIL 022,Hillary Clinton/ Tim Kaine,Democratic,80,2016,President
FIL 022,Jill Stein/ Ajamu Baraka,Green,1,2016,President
FIL 022,"President, Write In",n/a,0,2016,President
FIL 022,Anita L Howard,Conservative,1,2017,Mayor
FIL 022,"Blank, Void & Scattering                                                                     ",n/a,1,2017,Mayor
FIL 022,Byron W Brown,Democratic,21,2017,Mayor
FIL 022,Byron W Brown,Independence,0,2017,Mayor
FIL 022,Byron W Brown,Women's Equality,0,2017,Mayor
FIL 022,Byron W Brown,Working Families,2,2017,Mayor
FIL 022,Mark J F Schroeder,Reform,6,2017,Mayor
FIL 022,Taniqua Simmons,Write-In,0,2017,Mayor
FIL 022,Terrence A Robinson,Green,0,2017,Mayor
FIL 022,"Blank, Void, & Scattering",n/a,0,2018,Senate
FIL 022,Chele Chiavacci Farley,Conservative,1,2018,Senate
FIL 022,Chele Chiavacci Farley,Reform,0,2018,Senate
FIL 022,Chele Chiavacci Farley,Republican,2,2018,Senate
FIL 022,Kirsten E Gillibrand,Democratic,51,2018,Senate
FIL 022,Kirsten E Gillibrand,Independence,0,2018,Senate
FIL 022,Kirsten E Gillibrand,Women's Equality,1,2018,Senate
FIL 022,Kirsten E Gillibrand,Working Families,1,2018,Senate
FIL 022,Andrew M Cuomo/ Kathy C Hochul,Democratic,50,2018,Governor
FIL 022,Andrew M Cuomo/ Kathy C Hochul,Independence,0,2018,Governor
FIL 022,Andrew M Cuomo/ Kathy C Hochul,Working Families,2,2018,Governor
FIL 022,Andrew M Cuomo/ Kathy C Hochul,Women's Equality,0,2018,Governor
FIL 022,"Blank, Void, & Scattering",n/a,0,2018,Governor
FIL 022,Howie Hawkins/ Jia Lee,Green,1,2018,Governor
FIL 022,Larry Sharpe/ Andrew C Hollister,Libertarian,0,2018,Governor
FIL 022,Marc Molinaro/ Julie Killian,Conservative,1,2018,Governor
FIL 022,Marc Molinaro/ Julie Killian,Reform,0,2018,Governor
FIL 022,Marc Molinaro/ Julie Killian,Republican,2,2018,Governor
FIL 022,Stephanie A Miner/ Michael J Volpe,SAM,0,2018,Governor
FIL 022,"Blank, Void, & Scattering",n/a,4,2019,Legislature
FIL 022,Howard J. Johnson Jr.,Democratic,19,2019,Legislature
FIL 022,Katrinna Martin,Working Families,5,2019,Legislature
FIL 022,Tara Craig,Write-In,0,2019,Legislature
FIL 022,"Blank, Void, & Scattering",n/a,1,2019,County Executive
FIL 022,Lynne Dixon,Conservative,0,2019,County Executive
FIL 022,Lynne Dixon,Independence,0,2019,County Executive
FIL 022,Lynne Dixon,Republican,2,2019,County Executive
FIL 022,Lynne Dixon,SAM,0,2019,County Executive
FIL 022,Mark C. Poloncarz,Democratic,23,2019,County Executive
FIL 022,Mark C. Poloncarz,Working Families,2,2019,County Executive
FIL 022,"Blank, Void, & Scattering",n/a,5,2019,Council
FIL 022,David P. Howard,Choice,2,2019,Council
FIL 022,Mitch Nowakowski,Democratic,17,2019,Council
FIL 022,Mitch Nowakowski,Independence,0,2019,Council
FIL 022,Mohammed Jahangir Alam,United Fillmore District,0,2019,Council
FIL 022,Raymond Brinson,Conservative,4,2019,Council
FIL 022,Sam Herbert,Write-In,0,2019,Council
FIL 022,Barbara Miller-Williams,Democratic,23,2019,Comptroller
FIL 022,Barbara Miller-Williams,Independence,0,2019,Comptroller
FIL 022,Barbara Miller-Williams,Working Families,2,2019,Comptroller
FIL 022,"Blank, Void, & Scattering",n/a,1,2019,Comptroller
FIL 022,Ross M. Kostecky,Republican,2,2019,Comptroller
FIL 022,"Blank, Void & Scattering                                                                     ",n/a,0,2020,President
FIL 022,Brock Pierce/Karla Ballard,Independence,0,2020,President
FIL 022,Donald J. Trump/Michael R. Pence,Conservative,0,2020,President
FIL 022,Donald J. Trump/Michael R. Pence,Republican,7,2020,President
FIL 022,Howie Hawkins/Angela Nicole Walker,Green,1,2020,President
FIL 022,Jo Jorgensen/Jeremy Cohen,Libertarian,0,2020,President
FIL 022,Joseph R. Biden/Kamala D. Harris,Democratic,59,2020,President
FIL 022,Joseph R. Biden/Kamala D. Harris,Working Families,4,2020,President
FIL 022,"President, Write in",n/a,0,2020,President
FIL 022,"Blank, Void, Scattering",n/a,4,2020,Congress
FIL 022,Brian Higgins,SAM,0,2020,Congress
FIL 022,Brian Higgins,Working Families,3,2020,Congress
FIL 022,Brian Higgins,Democratic,59,2020,Congress
FIL 022,Michael P. Raleigh,Green,2,2020,Congress
FIL 022,Ricky T. Donovan Sr.,Republican,3,2020,Congress
FIL 022,"Blank, Void, Scattering",n/a,1,2021,Sheriff
FIL 022,John C. Garcia,Back the Blue/Guardian,0,2021,Sheriff
FIL 022,John C. Garcia,Republican,4,2021,Sheriff
FIL 022,Karen L. Healy-Case,Conservative,0,2021,Sheriff
FIL 022,Kimberly Beaty,Democratic,34,2021,Sheriff
FIL 022,Kimberly Beaty,Justice & Peace,2,2021,Sheriff
FIL 022,Theodore C. DiNoto,Public Service,0,2021,Sheriff
FIL 022,Ben Carlisle,Write-In,0,2021,Mayor
FIL 022,"Blank, Void, and Scattering",n/a,1,2021,Mayor
FIL 022,Byron Brown,Write-In,21,2021,Mayor
FIL 022,India B. Walton,Democratic,19,2021,Mayor
FIL 022,Jaz Miles,Write-In,0,2021,Mayor
FIL 022,William O'Dell,Write-In,0,2021,Mayor
FIL 022,"Blank, Void, Scattering",n/a,5,2021,Comptroller
FIL 022,Duane J. Whitmer,Libertarian,0,2021,Comptroller
FIL 022,Kevin R. Hardwick,Democratic,30,2021,Comptroller
FIL 022,Kevin R. Hardwick,Working Families/Integrity,2,2021,Comptroller
FIL 022,Lynne Dixon,Republican,4,2021,Comptroller
FIL 022,Lynne Dixon,Conservative,0,2021,Comptroller
FIL 022,"Blank, Void, Scattering",n/a,4,2022,Senate
FIL 022,Charles E. Schumer,Working Families,4,2022,Senate
FIL 022,Charles E. Schumer,Democratic,27,2022,Senate
FIL 022,Diane Sare,LaRouche,0,2022,Senate
FIL 022,Joe Pinion,Conservative,0,2022,Senate
FIL 022,Joe Pinion,Republican,3,2022,Senate
FIL 022,"Blank, Void, Scattering",n/a,0,2022,Governor
FIL 022,Kathy C. Hochul / Antonio Delgado,Democratic,30,2022,Governor
FIL 022,Kathy C. Hochul / Antonio Delgado,Working Families,5,2022,Governor
FIL 022,Lee Zeldin / Alison Esposito,Conservative,0,2022,Governor
FIL 022,Lee Zeldin / Alison Esposito,Republican,3,2022,Governor
FIL 022,"Blank, Void, Scattering",n/a,2,2022,Congress
FIL 022,Brian Higgins,Working Families,3,2022,Congress
FIL 022,Brian Higgins,Democratic,30,2022,Congress
FIL 022,Steven L. Sams II,Conservative,1,2022,Congress
FIL 022,Steven L. Sams II,Republican,2,2022,Congress
FIL 022,"Blank, Void, Scattering",n/a,3,2022,Comptroller
FIL 022,Paul Rodriguez,Conservative,0,2022,Comptroller
FIL 022,Paul Rodriguez,Republican,2,2022,Comptroller
FIL 022,Thomas P. DiNapoli,Working Families,4,2022,Comptroller
FIL 022,Thomas P. DiNapoli,Democratic,29,2022,Comptroller
FIL 023,YES,n/a,26,2002,Proposition
FIL 023,NO,n/a,56,2002,Proposition
FIL 023,"Blank, Void & Scattering",n/a,22,2002,Proposition
FIL 023," Blank, Void & Scattering                                                                     ",n/a,1,2005,Mayor
FIL 023,Byron W. Brown,Democrat,109,2005,Mayor
FIL 023,Byron W. Brown                                                         ,Working Families,4,2005,Mayor
FIL 023,Charles J. Flynn,Independence,1,2005,Mayor
FIL 023,Judith S. Einach                                             ,Green,0,2005,Mayor
FIL 023,Kevin J. Helfer,Republican/Strong Leadership,6,2005,Mayor
FIL 023,Kevin J. Helfer,Conservative,1,2005,Mayor
FIL 023,Barack Obama/Joe Biden,Democratic,168,2008,President
FIL 023,Barack Obama/Joe Biden,Working Families,7,2008,President
FIL 023,"Blank, Void & Scattering                                                                     ",n/a,0,2008,President
FIL 023,Bob Barr/Wayne A. Root,Libertarian,1,2008,President
FIL 023,Cynthia McKinney/Rosa Clemente,Green,0,2008,President
FIL 023,Gloria LaRiva/Eugene Puryear,Socialism & Liberation,0,2008,President
FIL 023,John McCain/Sarah Palin,Conservative,2,2008,President
FIL 023,John McCain/Sarah Palin,Independence,0,2008,President
FIL 023,John McCain/Sarah Palin,Republican,4,2008,President
FIL 023,"President, Write In",n/a,0,2008,President
FIL 023,Ralph Nader/Matt Gonzalez,Populist,0,2008,President
FIL 023,Roger Calero/Alyson Kennedy,Socialist Workers,0,2008,President
FIL 023," Blank, Void & Scattering                                                                     ",n/a,4,2009,Mayor
FIL 023,Byron W. Brown,Democratic,28,2009,Mayor
FIL 023,Byron W. Brown,Independence,0,2009,Mayor
FIL 023,Byron W. Brown                                                                 ,Working Families,3,2009,Mayor
FIL 023,Byron W. Brown,Conservative,0,2009,Mayor
FIL 023,"Blank, Void & Scattering                                                                     ",n/a,23,2011,Council
FIL 023,David A. Franczyk,Conservative,1,2011,Council
FIL 023,David A. Franczyk,Democratic,31,2011,Council
FIL 023,David A. Franczyk,Republican,1,2011,Council
FIL 023,David A. Franczyk,Working Families,0,2011,Council
FIL 023,Samuel A. Herbert,Write-In,3,2011,Council
FIL 023,"Blank, Void & Scattering                                                                     ",n/a,3,2011,County Executive
FIL 023,Chris Collins,Conservative,1,2011,County Executive
FIL 023,Chris Collins,Independence,0,2011,County Executive
FIL 023,Chris Collins,Republican,2,2011,County Executive
FIL 023,Mark C. Poloncarz,Democratic,52,2011,County Executive
FIL 023,Mark C. Poloncarz,Working Families,1,2011,County Executive
FIL 023,Barack Obama/Joe Biden,Democratic,89,2012,President
FIL 023,Barack Obama/Joe Biden,Working Families,1,2012,President
FIL 023,"Blank, Void & Scattering                                                                     ",n/a,0,2012,President
FIL 023,Gary Johnson/James P. Gray,Libertarian,0,2012,President
FIL 023,Jill Stein/Cheri Honkala,Green,0,2012,President
FIL 023,Mitt Romney/Paul Ryan,Conservative,2,2012,President
FIL 023,Mitt Romney/Paul Ryan,Republican,4,2012,President
FIL 023,Peta Lindsay/Yari Osorio,Socialism and Lib,0,2012,President
FIL 023,"President, Write In",n/a,0,2012,President
FIL 023,Virgil Goode/Jim Clymer,Constitution,0,2012,President
FIL 023,"Blank, Void & Scattering                                                                     ",n/a,3,2013,Mayor
FIL 023,Byron W. Brown,Conservative,0,2013,Mayor
FIL 023,Byron W. Brown,Democratic,22,2013,Mayor
FIL 023,Byron W. Brown,Independence,0,2013,Mayor
FIL 023,Byron W. Brown,Working Families,0,2013,Mayor
FIL 023,Sergio R. Rodriguez,Progressive,3,2013,Mayor
FIL 023,Sergio R. Rodriguez,Republican,8,2013,Mayor
FIL 023,"Blank, Void & Scattering                                                                     ",n/a,0,2015,County Executive
FIL 023,Eric Jones,Green,0,2015,County Executive
FIL 023,Mark C. Poloncarz,Democratic,19,2015,County Executive
FIL 023,Mark C. Poloncarz,Working Families,1,2015,County Executive
FIL 023,Mark C. Poloncarz,Women's Equality,1,2015,County Executive
FIL 023,Raymond W. Walter,Republican,2,2015,County Executive
FIL 023,Raymond W. Walter,Independence,0,2015,County Executive
FIL 023,Raymond W. Walter,Reform,0,2015,County Executive
FIL 023,Raymond W. Walter,Conservative,0,2015,County Executive
FIL 023,"Blank, Void & Scattering                                                                     ",n/a,2,2015,Council
FIL 023,David A. Franczyk,Democratic,19,2015,Council
FIL 023,David A. Franczyk,Republican,1,2015,Council
FIL 023,David A. Franczyk,Working Families,0,2015,Council
FIL 023,David P. Howard,Independence,1,2015,Council
FIL 023,"Blank, Void, & Scattering",n/a,0,2016,President
FIL 023,Donald J Trump/ Michael R Pence,Republican,6,2016,President
FIL 023,Donald J Trump/ Michael R Pence,Conservative,0,2016,President
FIL 023,Gary Johnson/ Bill Weld,Independence,1,2016,President
FIL 023,Gary Johnson/ Bill Weld,Libertarian,1,2016,President
FIL 023,Hillary Clinton/ Tim Kaine,Women's Equality,0,2016,President
FIL 023,Hillary Clinton/ Tim Kaine,Working Families,2,2016,President
FIL 023,Hillary Clinton/ Tim Kaine,Democratic,87,2016,President
FIL 023,Jill Stein/ Ajamu Baraka,Green,3,2016,President
FIL 023,"President, Write In",n/a,0,2016,President
FIL 023,Anita L Howard,Conservative,0,2017,Mayor
FIL 023,"Blank, Void & Scattering                                                                     ",n/a,3,2017,Mayor
FIL 023,Byron W Brown,Democratic,22,2017,Mayor
FIL 023,Byron W Brown,Independence,1,2017,Mayor
FIL 023,Byron W Brown,Women's Equality,1,2017,Mayor
FIL 023,Byron W Brown,Working Families,1,2017,Mayor
FIL 023,Mark J F Schroeder,Reform,9,2017,Mayor
FIL 023,Taniqua Simmons,Write-In,0,2017,Mayor
FIL 023,Terrence A Robinson,Green,1,2017,Mayor
FIL 023,"Blank, Void, & Scattering",n/a,6,2018,Senate
FIL 023,Chele Chiavacci Farley,Conservative,2,2018,Senate
FIL 023,Chele Chiavacci Farley,Reform,0,2018,Senate
FIL 023,Chele Chiavacci Farley,Republican,7,2018,Senate
FIL 023,Kirsten E Gillibrand,Democratic,37,2018,Senate
FIL 023,Kirsten E Gillibrand,Independence,1,2018,Senate
FIL 023,Kirsten E Gillibrand,Women's Equality,0,2018,Senate
FIL 023,Kirsten E Gillibrand,Working Families,3,2018,Senate
FIL 023,Andrew M Cuomo/ Kathy C Hochul,Democratic,39,2018,Governor
FIL 023,Andrew M Cuomo/ Kathy C Hochul,Independence,1,2018,Governor
FIL 023,Andrew M Cuomo/ Kathy C Hochul,Working Families,1,2018,Governor
FIL 023,Andrew M Cuomo/ Kathy C Hochul,Women's Equality,1,2018,Governor
FIL 023,"Blank, Void, & Scattering",n/a,1,2018,Governor
FIL 023,Howie Hawkins/ Jia Lee,Green,2,2018,Governor
FIL 023,Larry Sharpe/ Andrew C Hollister,Libertarian,1,2018,Governor
FIL 023,Marc Molinaro/ Julie Killian,Conservative,2,2018,Governor
FIL 023,Marc Molinaro/ Julie Killian,Reform,0,2018,Governor
FIL 023,Marc Molinaro/ Julie Killian,Republican,7,2018,Governor
FIL 023,Stephanie A Miner/ Michael J Volpe,SAM,1,2018,Governor
FIL 023,"Blank, Void, & Scattering",n/a,11,2019,Legislature
FIL 023,Howard J. Johnson Jr.,Democratic,20,2019,Legislature
FIL 023,Katrinna Martin,Working Families,5,2019,Legislature
FIL 023,Tara Craig,Write-In,0,2019,Legislature
FIL 023,"Blank, Void, & Scattering",n/a,5,2019,County Executive
FIL 023,Lynne Dixon,Conservative,1,2019,County Executive
FIL 023,Lynne Dixon,Independence,0,2019,County Executive
FIL 023,Lynne Dixon,Republican,6,2019,County Executive
FIL 023,Lynne Dixon,SAM,0,2019,County Executive
FIL 023,Mark C. Poloncarz,Democratic,23,2019,County Executive
FIL 023,Mark C. Poloncarz,Working Families,1,2019,County Executive
FIL 023,"Blank, Void, & Scattering",n/a,4,2019,Council
FIL 023,David P. Howard,Choice,3,2019,Council
FIL 023,Mitch Nowakowski,Democratic,19,2019,Council
FIL 023,Mitch Nowakowski,Independence,0,2019,Council
FIL 023,Mohammed Jahangir Alam,United Fillmore District,5,2019,Council
FIL 023,Raymond Brinson,Conservative,5,2019,Council
FIL 023,Sam Herbert,Write-In,0,2019,Council
FIL 023,Barbara Miller-Williams,Democratic,20,2019,Comptroller
FIL 023,Barbara Miller-Williams,Independence,0,2019,Comptroller
FIL 023,Barbara Miller-Williams,Working Families,1,2019,Comptroller
FIL 023,"Blank, Void, & Scattering",n/a,7,2019,Comptroller
FIL 023,Ross M. Kostecky,Republican,8,2019,Comptroller
FIL 023,"Blank, Void & Scattering                                                                     ",n/a,2,2020,President
FIL 023,Brock Pierce/Karla Ballard,Independence,0,2020,President
FIL 023,Donald J. Trump/Michael R. Pence,Conservative,1,2020,President
FIL 023,Donald J. Trump/Michael R. Pence,Republican,10,2020,President
FIL 023,Howie Hawkins/Angela Nicole Walker,Green,2,2020,President
FIL 023,Jo Jorgensen/Jeremy Cohen,Libertarian,1,2020,President
FIL 023,Joseph R. Biden/Kamala D. Harris,Democratic,64,2020,President
FIL 023,Joseph R. Biden/Kamala D. Harris,Working Families,3,2020,President
FIL 023,"President, Write in",n/a,0,2020,President
FIL 023,"Blank, Void, Scattering",n/a,7,2020,Congress
FIL 023,Brian Higgins,SAM,0,2020,Congress
FIL 023,Brian Higgins,Working Families,5,2020,Congress
FIL 023,Brian Higgins,Democratic,60,2020,Congress
FIL 023,Michael P. Raleigh,Green,3,2020,Congress
FIL 023,Ricky T. Donovan Sr.,Republican,8,2020,Congress
FIL 023,"Blank, Void, Scattering",n/a,9,2021,Sheriff
FIL 023,John C. Garcia,Back the Blue/Guardian,0,2021,Sheriff
FIL 023,John C. Garcia,Republican,5,2021,Sheriff
FIL 023,Karen L. Healy-Case,Conservative,0,2021,Sheriff
FIL 023,Kimberly Beaty,Democratic,31,2021,Sheriff
FIL 023,Kimberly Beaty,Justice & Peace,1,2021,Sheriff
FIL 023,Theodore C. DiNoto,Public Service,0,2021,Sheriff
FIL 023,Ben Carlisle,Write-In,0,2021,Mayor
FIL 023,"Blank, Void, and Scattering",n/a,2,2021,Mayor
FIL 023,Byron Brown,Write-In,20,2021,Mayor
FIL 023,India B. Walton,Democratic,24,2021,Mayor
FIL 023,Jaz Miles,Write-In,0,2021,Mayor
FIL 023,William O'Dell,Write-In,0,2021,Mayor
FIL 023,"Blank, Void, Scattering",n/a,13,2021,Comptroller
FIL 023,Duane J. Whitmer,Libertarian,1,2021,Comptroller
FIL 023,Kevin R. Hardwick,Democratic,24,2021,Comptroller
FIL 023,Kevin R. Hardwick,Working Families/Integrity,1,2021,Comptroller
FIL 023,Lynne Dixon,Republican,5,2021,Comptroller
FIL 023,Lynne Dixon,Conservative,2,2021,Comptroller
FIL 023,"Blank, Void, Scattering",n/a,5,2022,Senate
FIL 023,Charles E. Schumer,Working Families,1,2022,Senate
FIL 023,Charles E. Schumer,Democratic,25,2022,Senate
FIL 023,Diane Sare,LaRouche,0,2022,Senate
FIL 023,Joe Pinion,Conservative,0,2022,Senate
FIL 023,Joe Pinion,Republican,5,2022,Senate
FIL 023,"Blank, Void, Scattering",n/a,0,2022,Governor
FIL 023,Kathy C. Hochul / Antonio Delgado,Democratic,26,2022,Governor
FIL 023,Kathy C. Hochul / Antonio Delgado,Working Families,1,2022,Governor
FIL 023,Lee Zeldin / Alison Esposito,Conservative,1,2022,Governor
FIL 023,Lee Zeldin / Alison Esposito,Republican,8,2022,Governor
FIL 023,"Blank, Void, Scattering",n/a,5,2022,Congress
FIL 023,Brian Higgins,Working Families,2,2022,Congress
FIL 023,Brian Higgins,Democratic,23,2022,Congress
FIL 023,Steven L. Sams II,Conservative,0,2022,Congress
FIL 023,Steven L. Sams II,Republican,6,2022,Congress
